id,name,pincode,status,country_zones_id,states_id,state_code
1,"Abu Dhabi",624001,1,1,112,AZ
2,"Ahmed Bin Rashid Port",624001,1,1,112,AZ
3,Esnnad,624001,1,1,112,AZ
4,"Mina Rashid Port",624001,1,1,112,AZ
5,"Mina Zayed/Abu Dhabi",624001,1,1,112,AZ
6,Mirfa,624001,1,1,112,AZ
7,Mussafah,624001,1,1,112,AZ
8,"Ruwais Port",624001,1,1,112,AZ
9,"Yas Island",624001,1,1,112,AZ
10,"Zirku Island",624001,1,1,112,AZ
11,Dehdadi,624001,1,1,115,BAL
12,Torkham,624001,1,1,289,NAN
13,Butrint,624001,1,1,382,SR
14,Himare,624001,1,1,382,SR
15,Sarande,624001,1,1,382,SR
16,Shengjin,624001,1,1,250,LE
17,Agrelo,624001,1,1,260,M
18,Arrecifes,624001,1,1,113,B
19,"Bahia Blanca",624001,1,1,113,B
20,Barranqueras,624001,1,1,204,H
21,"Bella Vista",624001,1,1,428,W
22,"Buenos Aires",624001,1,1,141,C
23,"Caleta Cordoba",624001,1,1,445,X
24,"Caleta Olivia",624001,1,1,450,Z
25,Campana,624001,1,1,113,B
26,Candelaria,624001,1,1,287,N
27,Chilecito,624001,1,1,185,F
28,Chimbas,624001,1,1,222,J
29,"Choele Choel",624001,1,1,349,R
30,Colon,624001,1,1,177,E
31,"Colonia Caroya",624001,1,1,445,X
32,"Comodoro Rivadavia",624001,1,1,408,U
33,"Concepcion del Uruguay",624001,1,1,177,E
34,Coquimbito,624001,1,1,260,M
35,Corrientes,624001,1,1,428,W
36,"Cuatreros/Bahia Blanca",624001,1,1,113,B
37,"Del Guazu",624001,1,1,177,E
38,Diamante,624001,1,1,349,R
39,"Dock Sur",624001,1,1,113,B
40,Formosa,624001,1,1,326,P
41,Goya,624001,1,1,428,W
42,Gualeguaychu,624001,1,1,177,E
43,Ibicuy,624001,1,1,177,E
44,"Ingeniero White/Bahia Blanca",624001,1,1,113,B
45,"Jose Leon Suarez",624001,1,1,113,B
46,"La Paz",624001,1,1,260,M
47,"La Plata",624001,1,1,113,B
48,"Las Palmas",624001,1,1,113,B
49,Lavalle,624001,1,1,230,K
50,Lujan,624001,1,1,113,B
51,"Lujan de Cuyo",624001,1,1,260,M
52,Luzuriaga,624001,1,1,260,M
53,"Mar del Plata",624001,1,1,113,B
54,Necochea,624001,1,1,113,B
55,Olavarria,624001,1,1,113,B
56,"Pablo Podesta",624001,1,1,113,B
57,Parana,624001,1,1,177,E
58,Pilcomayo,624001,1,1,326,P
59,Posadas,624001,1,1,287,N
60,"Puerto Alumbrera",624001,1,1,362,S
61,"Puerto Belgrano/Bahia Blanca",624001,1,1,113,B
62,"Puerto Deseado",624001,1,1,450,Z
63,"Puerto Eldorado",624001,1,1,287,N
64,"Puerto Galvan/Bahia Blanca",624001,1,1,113,B
65,"Puerto Ingeniero M. Rocca",624001,1,1,113,B
66,"Puerto Lavalle",624001,1,1,428,W
67,"Puerto Madryn",624001,1,1,408,U
68,"Puerto Nacional/Bahia Blanca",624001,1,1,113,B
69,"Puerto Rosales/Bahia Blanca",624001,1,1,113,B
70,"Puerto Wanda",624001,1,1,287,N
71,"Punta Colorada",624001,1,1,349,R
72,"Punta Medanos",624001,1,1,113,B
73,"Quebracho/San Lorenzo",624001,1,1,362,S
74,Quequen,624001,1,1,113,B
75,Ramallo,624001,1,1,113,B
76,Rawson,624001,1,1,408,U
77,Resinfor,624001,1,1,362,S
78,"Rio Gallegos",624001,1,1,450,Z
79,"Rio Grande",624001,1,1,414,V
80,Rivadavia,624001,1,1,260,M
81,Rosario,624001,1,1,362,S
82,"Rosario de la Frontera",624001,1,1,94,A
83,Salto,624001,1,1,113,B
84,"San Antonio Este",624001,1,1,349,R
85,"San Carlos",624001,1,1,260,M
86,"San Fernando",624001,1,1,113,B
87,"San Ignacio",624001,1,1,287,N
88,"San Julian",624001,1,1,450,Z
89,"San Lorenzo",624001,1,1,244,L
90,"San Martin",624001,1,1,260,M
91,"San Martin",624001,1,1,362,S
92,"San Nicolas de los Arroyos",624001,1,1,113,B
93,"San Pedro",624001,1,1,177,E
94,"San Pedro",624001,1,1,446,Y
95,"San Salvador de Jujuy",624001,1,1,446,Y
96,"San Sebastian",624001,1,1,414,V
97,"Santa Ana",624001,1,1,287,N
98,"Santa Cruz",624001,1,1,450,Z
99,"Santa Fe",624001,1,1,362,S
100,"Santa Rosa",624001,1,1,260,M
101,"Tres Arroyos",624001,1,1,113,B
102,Tucuman,624001,1,1,391,T
103,Tunuyan,624001,1,1,260,M
104,Ushuaia,624001,1,1,414,V
105,"Vicente Lopez",624001,1,1,113,B
106,"Villa Constitucion",624001,1,1,362,S
107,"Villa del Totoral",624001,1,1,445,X
108,"Villa Hernandarias",624001,1,1,177,E
109,"Villa Mercedes",624001,1,1,222,J
110,Zarate,624001,1,1,113,B
111,Altenworth,624001,1,1,23,3
112,Asten,624001,1,1,34,4
113,Bernhardsthal,624001,1,1,23,3
114,Bischofshofen,624001,1,1,45,5
115,Bohlerwenk,624001,1,1,23,3
